# This file was generated with the ref_galactic_fk4.py script, and the reference values were computed using AST,,,,,,
equinox_fk4,obstime,lon_in,lat_in,ra_fk4,dec_fk4,lon_gal,lat_gal
J2024.49,B1987.98,341.9660665,-2.824778136,257.0792691,-45.50628492,66.51663835,-51.59887682
J2019.43,B1984.23,38.63624839,9.33228109,277.2983992,9.291908318,160.6793813,-46.0098367
J2021.93,B1996.62,327.8611281,-46.52925473,334.4981759,-62.28575366,351.7792041,-49.55148036
J2011.96,B1997.49,120.9798583,87.22617179,193.1126897,29.83552117,125.9004796,27.88771689
J1976.35,B1999.51,297.4969537,0.839666333,181.0854174,-61.41547739,40.68467627,-12.84029982
J1994.12,B1956.31,323.3162286,-0.794522599,232.7445835,-57.17281161,53.44756575,-35.76405257
J1975.53,B1998.83,15.37750956,-38.77402906,313.687712,-29.75326613,292.1238237,-78.24928824
J1978.26,B1961.46,70.48619967,-24.06821314,323.0352352,17.92239153,223.2503516,-38.1828371
J2009.07,B1959.30,106.0204759,36.65749035,244.9727784,72.78788654,180.3276523,18.04684419
J2024.33,B1975.46,225.719957,-24.23269243,86.03661128,-21.50825784,337.381821,29.8986235
J2008.31,B1976.52,31.04031784,23.21878191,261.3022999,8.780475549,143.7724475,-36.75116391
J1995.76,B1964.13,51.46020713,-27.00585462,315.0657666,2.557966175,221.7754466,-55.72420783
J1977.06,B1965.51,185.6975469,55.5942608,153.3385417,37.4402994,131.0494876,61.22470441
J2019.71,B1965.49,248.1628787,-23.76094509,94.05916171,-40.82249108,354.3929718,16.4900857
J2010.34,B1963.32,308.3852919,51.2349043,196.4761568,-11.54449835,88.20712023,6.644822429
J1998.94,B1979.67,233.050206,63.30933565,166.8675105,15.66378045,98.51562048,45.4612418
J1985.78,B1960.86,209.3827232,-41.46591298,63.47341867,-15.14423839,316.1632376,19.61005952
J1979.09,B1970.12,256.0017438,-16.34480517,106.6494516,-45.32540941,5.447445641,14.66837169
J2008.66,B1964.43,90.87006854,21.36786944,287.0082537,60.30309017,188.5105944,-0.45017742
J2024.74,B1958.69,324.0574861,57.43527506,204.3878342,-3.711566975,98.82944189,3.929805707
J2004.68,B1961.29,159.2257294,-45.24722782,37.9943842,10.46095608,279.445767,11.41626842
J2017.01,B1999.43,7.387496876,-53.15409976,330.7968934,-36.43273554,310.561617,-63.54284351
J1982.65,B1971.70,345.477965,-10.18310077,267.9393826,-46.54651753,61.38924107,-59.26357811
J2018.81,B1991.41,234.8011521,71.85119341,175.2711162,19.16672121,107.2753537,39.71132096
J2002.24,B1978.63,184.75425,-66.48949049,34.18415418,-14.4958118,299.6867166,-3.8106974
J2024.18,B1982.60,245.6482979,-38.76821765,73.95470957,-41.30594103,341.5479884,7.973816666
J2011.79,B1986.49,176.2345406,12.56435011,97.77881319,38.18354699,252.3390394,68.62119581
J1979.65,B1969.56,333.5364617,-55.64556878,343.3166054,-54.07909174,336.6529262,-50.11803405
J1989.61,B1969.64,185.716718,-21.55681719,70.50917301,12.16247192,294.3169196,40.78800638
J1988.65,B1992.98,25.97755743,12.7249831,268.242056,-0.265815952,142.5014783,-48.06287327
J1978.56,B1990.50,204.3029874,-36.69895862,66.09627206,-9.570874898,313.3104725,25.11466119
J2009.00,B1991.83,221.4875461,22.5689796,126.8538734,2.993231599,29.33290079,63.7844492
J1986.24,B1959.40,338.956666,-30.71353705,297.7857889,-58.43491488,18.00957513,-60.38557529
J2002.57,B1967.98,149.5308077,21.14585727,94.85245183,65.0524091,211.8510721,50.17393062
J2013.49,B1974.10,95.19839085,-1.611630079,325.6278937,50.8317831,210.7816409,-7.700497862
J1985.59,B1998.30,35.06153953,-28.62078808,309.3625476,-10.96817502,222.2815235,-70.20395552
J1989.64,B1978.17,174.9039199,-25.75471405,60.6700457,17.16989571,283.4347264,34.34564353
J1992.82,B1991.38,167.2786306,54.18427447,155.1344236,47.95515617,150.615262,57.15928102
J2022.82,B1953.81,10.71335412,-26.63560336,299.7000628,-30.28540182,42.03319293,-87.80592555
J2008.01,B1977.66,249.9398863,43.02332883,157.1076753,-4.659869587,67.7233796,41.70694528
J2022.53,B1977.40,258.1009605,-37.38380365,76.16218874,-51.0815347,348.9675324,1.366805784
J1979.84,B1995.27,262.7321124,-19.80579866,105.2053568,-52.53728541,6.119937333,7.435008015
J1988.23,B1968.47,149.1663662,63.28577033,174.6884504,50.07784739,148.575911,44.26722827
J1988.61,B1995.06,5.435584126,0.695799807,268.67481,-23.91060163,107.6648378,-61.24696729
J2016.75,B1957.03,327.2310567,-11.13773963,252.9513826,-62.14989354,44.0578705,-44.16568163
J2015.64,B1954.96,284.1763385,-71.06316568,21.48618378,-44.73177702,324.0400575,-25.83262897
J1989.69,B1998.66,59.4717009,14.09600458,281.4950473,29.77327559,176.5679604,-28.68623932
J2007.49,B1997.10,112.6029461,-17.77639322,359.2260637,44.03299231,233.0740189,0.17949216
J1996.05,B1979.55,219.9403101,-26.51304409,81.44654588,-17.50433035,331.1492814,30.3269968
J1978.73,B1952.60,131.2165032,-60.67907094,16.63415416,1.818500321,276.9905665,-10.98856637
J2011.94,B1952.51,56.17389211,-19.34277823,311.1869997,10.43371047,211.3046899,-49.77480299
J2004.27,B1966.23,63.82937283,-59.83479442,346.9927744,-9.450234269,270.9697033,-42.52566659
J1992.23,B1968.79,312.4402816,-82.90907545,11.35408968,-34.1571505,310.0932083,-30.49879199
J1987.90,B1988.21,104.4340806,-66.64472993,5.453402915,-4.887408169,277.2126987,-24.13970938
J1989.59,B1992.96,210.6646637,-17.58319285,86.01655522,-5.984166071,326.1987013,41.97224472
J2013.49,B1977.29,163.4381553,-54.69541827,35.08474538,1.147289027,286.2844236,4.380489434
J1996.22,B1966.19,148.0241276,2.328651802,61.16537896,55.46281764,235.1479685,40.50628699
J1989.43,B1970.29,317.7484003,-34.64571829,316.8316433,-75.29626125,9.657320359,-42.8175894
J1988.21,B1955.48,249.3748853,79.52460954,183.7189807,20.69136828,112.5655206,32.56418322
J1988.85,B1956.86,100.5384079,-27.75072236,349.5463293,30.99724766,237.2185492,-14.05009661
J2017.12,B1987.27,23.19848323,21.12083882,259.9523389,1.355547653,135.4369125,-40.85500693
J1983.48,B1993.82,71.50450095,3.00896663,299.6034521,35.27029975,194.6343943,-25.81125252
J1987.60,B1962.95,335.4057881,-6.900982388,255.3240076,-53.1294372,55.84105282,-49.2268305
J2004.59,B1984.28,307.5888844,18.85113892,199.0368728,-43.82355131,61.46147768,-11.79849909
J2023.77,B1967.96,343.7045044,-46.9224253,326.1424636,-52.3943401,344.2995614,-59.49100897
J1975.21,B1950.30,18.81120537,35.14852892,245.2864765,4.931829419,128.7193438,-27.30932304
J1987.00,B1988.06,208.609805,-46.38942757,58.54333649,-16.53016795,314.2384283,15.01307837
J2011.33,B1970.70,172.978656,15.4172637,99.52377869,42.22466885,240.9100405,68.05400513
J1987.54,B1966.69,7.815232431,-34.93657363,307.969684,-34.84999105,330.1461808,-81.20122027
J2020.91,B1963.90,134.5033669,-72.41112693,16.64859619,-9.745588531,287.25143,-17.02369321
J2000.41,B1979.63,149.0730484,14.70651603,81.12178006,62.69043567,220.7915673,47.49078291
J2000.13,B1966.26,217.4066042,16.51865143,119.5829563,3.616206542,12.97783117,64.93079511
J2010.62,B1996.84,241.8295418,16.51143349,131.9263451,-16.46410063,30.21291201,43.72663262
J2006.99,B1954.80,301.9916522,46.82286903,192.2816547,-16.08194381,82.18312784,7.659420317
J1989.22,B1994.16,280.629435,-19.00175967,119.7631631,-67.94348078,15.03273628,-6.77482724
J1975.49,B1978.40,144.2523759,-10.25813303,44.26637245,47.17805415,244.9061253,30.01468894
J2004.74,B1953.10,286.0305233,12.7464714,168.4032919,-46.9082451,45.6849292,3.058605655
J2017.05,B1993.75,321.5247517,61.84646452,201.7299721,0.14228264,100.9998867,8.011950482
J1999.33,B1961.24,94.49628871,-44.09462782,352.1974558,14.16463473,251.7509964,-24.21780847
J2014.04,B1989.97,356.1109227,-39.18925693,312.5626423,-44.49765916,347.918751,-71.40032767
J1995.63,B1990.09,307.1905556,-43.7191035,2.194093665,-73.08083656,356.9076775,-35.51408424
J1993.99,B1951.45,263.3317762,25.19172786,153.1698405,-25.21158734,48.72148472,27.54511833
J2019.92,B1981.35,128.0036249,58.86665446,188.1324075,57.9560573,158.1513639,35.64845657
J2019.84,B1980.23,317.9842167,-8.895085255,234.1051026,-66.93593361,41.25409219,-35.00193226
J2011.02,B1953.91,312.4652727,5.184003108,210.3873165,-56.45131871,52.20456872,-23.27832134
J1989.24,B1988.65,344.0759205,-20.80705511,282.1948648,-52.05631615,40.42267174,-63.12391292
J1991.99,B1957.17,0.038612347,-42.7336081,317.1131011,-41.67226712,333.2720266,-71.31549089
J1989.26,B1973.18,5.954775091,23.97287142,248.6457764,-10.55985841,115.0398303,-38.42445634
J2013.98,B1954.86,113.0652206,27.41917057,278.3786216,81.2392172,191.6708294,20.31608879
J1975.23,B1978.49,358.3138229,67.04465127,211.7807187,12.98356284,117.4389463,4.919990077
J1979.23,B1970.19,53.58392034,-15.01185265,305.7294781,10.59747551,203.6808579,-50.07505064
J1997.07,B1979.33,60.25576274,25.68332253,269.0035732,34.45694297,167.932574,-20.16698326
J1987.55,B1987.44,273.0859333,76.43939197,185.7562121,15.27378544,107.6785797,28.62982229
J2020.29,B1994.48,25.03067982,-51.1202356,329.5727091,-25.48215415,285.5293479,-64.25727807
J2019.04,B1968.97,253.9704379,31.09489926,151.0362172,-15.45231651,52.79951141,37.29266829
J2010.83,B1964.62,168.8995014,-43.22709507,44.93846654,8.000282987,284.8646438,16.29800806
J1986.93,B1975.46,3.667757805,39.26222257,235.2386762,-2.725284039,115.3617047,-23.00601128
J2021.26,B1976.64,278.9365906,6.212318408,154.6926598,-49.47905982,36.56579321,6.530119567
J2023.48,B1955.27,285.912363,9.405486997,166.4814128,-50.03862453,42.53083569,1.819554851
J2003.91,B1952.30,53.84500263,60.72598934,226.1471904,33.56438172,141.6597797,3.93637166
J1988.45,B1981.10,8.533307444,-7.544980288,278.2559812,-25.1174818,110.7610777,-69.95711083
J1990.05,B1991.12,274.3429575,-1.24603088,141.3055931,-52.25517613,27.9749402,6.886752568
J2006.27,B1952.75,80.52126476,19.40606254,284.8641236,50.47777724,185.1292889,-9.720471871
J2013.99,B1989.90,94.3827832,15.08833868,301.4932344,60.9106556,195.5829171,-0.623869406
J1996.06,B1962.21,164.473021,-47.69654402,39.49465787,6.362235536,283.9483071,10.93166489
J2007.85,B1990.18,89.97369066,-16.99642635,333.2177471,35.54966253,222.8091098,-18.92651446
J1996.18,B1964.91,204.5820822,15.67895158,113.3176979,14.34754487,348.9412569,74.15788519
